,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8734,TJ Warren,PHX,22,203.2,104.32616,North Carolina State,USA,2014,1,14,47,11,3.1,0.9,-7.2,0.057,0.1,0.198,0.549,0.068,2015-16,
8735,T.J. McConnell,PHI,24,187.96,90.7184,Arizona,USA,Undrafted,Undrafted,Undrafted,81,6.1,3.1,4.5,-7.9,0.029,0.154,0.171,0.511,0.36,2015-16,
8736,Steven Adams,OKC,22,213.36,115.66596,Pittsburgh,New Zealand,2013,1,12,80,8,6.7,0.8,11.1,0.124,0.158,0.127,0.621,0.042,2015-16,
8737,Steve Novak,MIL,33,208.28,102.0582,Marquette,USA,2006,2,32,10,2.4,0.5,0,5.1,0,0.102,0.18,0.651,0,2015-16,
8738,Jorge Gutierrez,CHA,27,190.5,85.728888,California-Berkeley,Mexico,Undrafted,Undrafted,Undrafted,12,1.8,0.6,1.4,11.6,0,0.103,0.155,0.694,0.395,2015-16,
8739,Stephen Curry,GSW,28,190.5,86.18248,Davidson,USA,2009,1,7,79,30.1,5.4,6.7,18.3,0.029,0.131,0.32,0.669,0.315,2015-16,T
8740,Stanley Johnson,DET,20,200.66,111.13004,Arizona,USA,2015,1,8,73,8.1,4.2,1.6,-3.8,0.036,0.164,0.196,0.46,0.113,2015-16,
8741,Spencer Hawes,CHA,28,215.9,111.13004,Washington,USA,2007,1,10,57,6,4.3,1.9,2.1,0.053,0.201,0.171,0.508,0.171,2015-16,
8742,Spencer Dinwiddie,CHI,23,198.12,90.7184,Colorado,USA,2014,2,38,12,4.8,1.4,1.8,-17,0.025,0.094,0.213,0.423,0.297,2015-16,
8743,Terrence Jones,HOU,24,205.74,114.305184,Kentucky,USA,2012,1,18,50,8.7,4.2,0.8,-10.5,0.064,0.166,0.195,0.519,0.069,2015-16,
